Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2010;2010;tonnes;1000
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2011;2011;tonnes;1034
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2012;2012;tonnes;1100
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2013;2013;tonnes;1100
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2014;2014;tonnes;1000
QC;Crops;80;Bosnia and Herzegovina;5510;Production;572;Avocados;2015;2015;tonnes;1012
QC;Crops;68;France;5510;Production;572;Avocados;2010;2010;tonnes;1983
QC;Crops;68;France;5510;Production;572;Avocados;2011;2011;tonnes;1256
QC;Crops;68;France;5510;Production;572;Avocados;2012;2012;tonnes;980
QC;Crops;68;France;5510;Production;572;Avocados;2013;2013;tonnes;980
QC;Crops;68;France;5510;Production;572;Avocados;2014;2014;tonnes;957
QC;Crops;68;France;5510;Production;572;Avocados;2015;2015;tonnes;941
QC;Crops;84;Greece;5510;Production;572;Avocados;2010;2010;tonnes;1431
QC;Crops;84;Greece;5510;Production;572;Avocados;2011;2011;tonnes;1427
QC;Crops;84;Greece;5510;Production;572;Avocados;2012;2012;tonnes;1478
QC;Crops;84;Greece;5510;Production;572;Avocados;2013;2013;tonnes;1415
QC;Crops;84;Greece;5510;Production;572;Avocados;2014;2014;tonnes;1474
QC;Crops;84;Greece;5510;Production;572;Avocados;2015;2015;tonnes;4630
QC;Crops;174;Portugal;5510;Production;572;Avocados;2010;2010;tonnes;15952
QC;Crops;174;Portugal;5510;Production;572;Avocados;2011;2011;tonnes;16602
QC;Crops;174;Portugal;5510;Production;572;Avocados;2012;2012;tonnes;17500
QC;Crops;174;Portugal;5510;Production;572;Avocados;2013;2013;tonnes;18543
QC;Crops;174;Portugal;5510;Production;572;Avocados;2014;2014;tonnes;14278
QC;Crops;174;Portugal;5510;Production;572;Avocados;2015;2015;tonnes;no data
QC;Crops;203;Spain;5510;Production;572;Avocados;2010;2010;tonnes;97378
QC;Crops;203;Spain;5510;Production;572;Avocados;2011;2011;tonnes;83426
QC;Crops;203;Spain;5510;Production;572;Avocados;2012;2012;tonnes;76337
QC;Crops;203;Spain;5510;Production;572;Avocados;2013;2013;tonnes;69400
QC;Crops;203;Spain;5510;Production;572;Avocados;2014;2014;tonnes;77401
QC;Crops;203;Spain;5510;Production;572;Avocados;2015;2015;tonnes;86636
